"Documentation","Dokumentation"
"Configuration","Einstellungen"
"Payments","Zahlungen"
"Product Activation Key","Produktaktivierungsschlüssel"
"Merchant details are configured successfully. Please select the Tariff ID and click","Ihre Händlerdaten wurden erfolgreich aktualisiert. Bitte wählen Sie die Tarif-ID und klicken Sie auf "
"button to save the configuration.",", um alle Einstellungen zu speichern."
"Activate"," Aktivieren"
"Enter the Novalnet Product activation key that is required for authentication and click Activate. You will find the Product activation key in the <a href='https://admin.novalnet.de/' target='_blank'>Novalnet Admin Portal</a>: PROJECT > Choose your project > Shop Parameters > API Signature (Product activation key)","Geben Sie den Novalnet-Produktaktivierungsschlüssel ein, der für die Authentifizierung erforderlich ist, und klicken Sie auf Aktivieren. Den Produktaktivierungsschlüssel finden Sie im <a href='https://admin.novalnet.de/' target='_blank'>Novalnet Admin-Portal</a> > PROJEKT > Wählen Sie Ihr Projekt > Parameter Ihres Shops > API-Signature (Aktivierungsschlüssel des Produkts)."
"Merchant ID","Händler-ID"
"Project ID","Projekt-ID"
"Authentication code","Authentifizierungscode"
"Select Tariff ID","Auswahl der Tarif-ID"
"Select a Tariff ID to match the preferred tariff plan you created at the Novalnet Admin Portal for this project","Wählen Sie eine Tarif-ID, die dem bevorzugten Tarifplan entspricht, den Sie im Novalnet Admin-Portal für dieses Projekt erstellt haben"
"Payment Access Key","Zahlungs-Zugriffsschlüssel"
"Enable Live Mode","Live-Modus aktivieren"
"Selected payment methods will be in Live Mode","Für ausgewählten Zahlungsarten wird der Live-Modus gesetzt"
"No active payment method for this store","Für diesen Shop ist keine Zahlungsart aktiviert."
"Display payment method logo","Zahlungslogo anzeigen"
"The payment method logo will be displayed on the checkout page","Das Logo der Zahlungsart wird auf der Checkout-Seite angezeigt"
"Products remain in the shopping cart after cancelled payment","Produkte im Warenkorb nach Abbruch des Zahlungsvorgangs wiederherstellen"
"For additional configurations login to <a href='https://admin.novalnet.de/' target='_blank'> Novalnet Merchant Administration portal</a>. To login to the Portal you need to have an account at Novalnet. If you don't have one yet, please contact <a href='mailto:sales@novalnet.de'>sales@novalnet.de</a> / tel. +49 (089) 923068320</br>","Um zusätzliche Einstellungen vorzunehmen"
"To accept PayPal transactions, configure your PayPal API info in the <a href='https://admin.novalnet.de/' target='_blank'> Novalnet Admin Portal </a> > PROJECT > 'Project' Information > Payment Methods > Paypal > Configure.","Um PayPal-Transaktionen zu akzeptieren, konfigurieren Sie Ihre PayPal-API-Informationen im <a href='https://admin.novalnet.de/' target='_blank'>Novalnet Admin-Portal </a> > PROJEKT > Wählen Sie Ihr Projekt > Zahlungsmethoden > Paypal > Konfigurieren"
"Order status management for on-hold transactions","Verwaltung des Bestellstatus für ausgesetzte Zahlungen"
"Order status for the pending payment","Bestellstatus der ausstehenden Zahlung"
"Onhold order status","On-hold-Bestellstatus"
"Cancellation order status","Bestellstatus für Stornierung"
"Notification / Webhook URL Setup","Benachrichtigungs- / Webhook-URL festlegen"
"Allow manual testing of the Notification / Webhook URL","Deaktivieren Sie die IP-Adresskontrolle (nur zu Testzwecken)"
"For additional configurations login to <a href='https://admin.novalnet.de/' target='_blank'> Novalnet Merchant Administration portal</a>. To login to the Portal you need to have an account at Novalnet. If you don't have one yet, please contact <a href='mailto:sales@novalnet.de'>sales@novalnet.de</a> / tel. +49 (089) 923068320</br></br>To use the PayPal payment method please enter your PayPal API details in <a href='https://admin.novalnet.de/' target='_blank'> Novalnet Merchant Administration portal</a>","Aktivieren Sie diese Option, um die Novalnet-Benachrichtigungs-/Webhook-URL manuell zu testen. Deaktivieren Sie die Option, bevor Sie Ihren Shop liveschalten, um unautorisierte Zugriffe von Dritten zu blockieren."
"E-Mail address of the recipient","E-Mail-Benachrichtigungen werden an diese E-Mail-Adresse gesendet"
"Notification &amp; Webhook URL","Benachrichtigungs- / Webhook-URL"
"Notification / Webhook URL is required to keep the merchant’s database/system synchronized with the Novalnet account (e.g. delivery status). Refer the Installation Guide for more information","Eine Benachrichtigungs- / Webhook-URL ist erforderlich, um die Datenbank / das System des Händlers mit dem Novalnet-Account synchronisiert zu halten (z.B. Lieferstatus). Weitere Informationen finden Sie in der Installationsanleitung"
"Payment Methods","Zahlungsmethode"
"Credit/Debit Cards","Kredit-/Debitkarte"
"Direct Debit SEPA","SEPA-Lastschrift"
"Invoice","Rechnung"
"Prepayment","Vorkasse"
"Invoice with payment guarantee","Rechnung mit Zahlungsgarantie"
"Direct Debit SEPA with payment guarantee","SEPA-Lastschrift mit Zahlungsgarantie"
"Instalment by Direct Debit SEPA","Ratenzahlung per SEPA-Lastschrift"
"Instalment by Invoice","Ratenzahlung per Rechnung"
"PayPal","PayPal"
"Sofort","Sofortüberweisung"
"iDEAL","iDEAL"
"Eps","eps"
"Giropay","giropay"
"Przelewy24","Przelewy24"
"PostFinance Card","PostFinance Card"
"PostFinance E-Finance","PostFinance E-Finance"
"Multibanco","Multibanco"
"Bancontact","Bancontact"
"Display payment method","Zahlungsart anzeigen"
"Novalnet Title","Titel"
"Define a sorting order","Geben Sie eine Sortierreihenfolge an"
"This payment method will be sorted among others (in the ascending order) as per the given sort number","Die Zahlungsarten werden in Ihrem Checkout anhand der von Ihnen vorgegebenen Sortierreihenfolge angezeigt (in aufsteigender Reihenfolge)"
"Payment logo","Logo der Zahlungsart"
"Payment Action","Aktion für vom Besteller autorisierte Zahlungen"
"Authorize","Zahlung autorisieren"
"Choose whether or not the payment should be charged immediately. Capture completes the transaction by transferring the funds from buyer account to merchant account. Authorize verifies payment details and reserves funds to capture it later, giving time for the merchant to decide on the order.","Wählen Sie, ob die Zahlung sofort belastet werden soll oder nicht. Zahlung einziehen: Betrag sofort belasten. Zahlung autorisieren: Die Zahlung wird überprüft und autorisiert, aber erst zu einem späteren Zeitpunkt belastet. So haben Sie Zeit, über die Bestellung zu entscheiden."
"Capture","Zahlung einziehen"
"Novalnet Capture","Novalnet Erfassen"
"Completed order status","Status für erfolgreichen Auftragsabschluss"
"Status to be used for successful orders","Wählen Sie, welcher Status für erfolgreich abgeschlossene Bestellungen verwendet wird"
"Payment due date (in days)","Fälligkeitsdatum (in Tagen)"
"Enter the number of days after which the payment should be processed (must be between 2 and 14 days)","Geben Sie die Anzahl der Tage ein, nach denen der Zahlungsbetrag eingezogen werden soll (muss zwischen 2 und 14 Tagen liegen)."
"Enter the number of days after which the payment should be processed (must be between 7 and 28 days)","Anzahl der Tage, die der Käufer Zeit hat, um den Betrag an Novalnet zu überweisen (muss zwischen 7 und 28 Tagen liegen). Wenn Sie dieses Feld leer lassen, werden standardmäßig 14 Tage als Fälligkeitsdatum festgelegt."
"Minimum transaction amount for authorization","Mindesttransaktionsbetrag für die Autorisierung (in der kleinsten Währungseinheit, z.B. 100 Cent = entsprechen 1.00 EUR)"
"Form appearance","Darstellung des Formulars"
"Custom CSS Settings","Angepasste CSS-Einstellungen"
"CSS settings for iframe form","CSS-Einstellungen für den iFrameformular"
"NN CC Label Style","Beschriftung"
"NN CC Input Style","Eingabe"
"NN CC CSS text","Text für das CSS"
"Notification for the buyer","Benachrichtigung des Käufers"
"The entered text will be displayed on the checkout page","Der eingegebene Text wird auf der Checkout-Seite angezeigt"
"User Group Excluded","Ausgeschlossene Benutzergruppe(n)"
"Payment from Applicable Countries","Zahlung aus zugelassenen Ländern"
"Payment from Specific Countries","Länderauswahl für Zahlungsmöglichkeit"
"Minimum order amount (in minimum unit of currency. E.g. enter 100 which is equal to 1.00)","Mindestbestellbetrag (in der kleinsten Währungseinheit, z.B. 100 Cent = entsprechen 1.00 EUR)"
"Minimum order amount: 19.98 EUR or more","Mindestbetrag der Bestellung: 19.98 EUR"
"The minimum amount should be at least 9.99 EUR","Der Mindestbetrag sollte bei mindestens 9.99 EUR"
"The minimum amount should be at least 19.98 EUR","Der Mindestbetrag sollte bei mindestens 19.98 EUR"
"Minimum Order Total","Mindestwert für Gesamtbestellung"
"Maximum Order Total","Höchstwert für Gesamtbestellung"
"Minimum Orders Count","Mindestanzahl an bisherigen Bestellungen des Kunden"
"Default: '0' for disabled check | Minimum count of orders (in the past) needed for the customer to use this payment method","Aktivieren Sie diese Zahlungsart für den jeweiligen Kunden nur dann, wenn er die geforderte Anzahl an früheren Bestellungen bei Ihnen überschreitet."
"The amount will be debited from your credit/debit card","Der Betrag wird Ihrer Kredit-/Debitkarte belastet"
