"Documentation","Documentation"
"Configuration","Configuration"
"Payments","Payments"
"Product Activation Key","Product Activation Key"
"Payment Access Key","Payment Access Key"
"Merchant details are configured successfully. Please select the Tariff ID and click","Merchant details are configured successfully. Please select the Tariff ID and click "
"button to save the configuration."," button to save the configuration"
"Activate","Activate"
"Enter the Novalnet Product activation key that is required for authentication and click Activate. You will find the Product activation key in the <a href='https://admin.novalnet.de/' target='_blank'>Novalnet Admin Portal</a>: PROJECT > Choose your project > Shop Parameters > API Signature (Product activation key)","Enter the Novalnet Product activation key that is required for authentication and click Activate. You will find the Product activation key in the <a href='https://admin.novalnet.de/' target='_blank'>Novalnet Admin Portal</a>: PROJECT > Choose your project > Shop Parameters > API Signature (Product activation key)"
"Merchant ID","Merchant ID"
"Project ID","Project ID"
"Authentication code","Authentication code"
"Select Tariff ID","Select Tariff ID"
"Select a Tariff ID to match the preferred tariff plan you created at the Novalnet Admin Portal for this project","Select a Tariff ID to match the preferred tariff plan you created at the Novalnet Admin Portal for this project"
"Enable Live Mode","Enable Live Mode"
"Selected payment methods will be in Live Mode","Selected payment methods will be in Live Mode"
"No active payment method for this store","No active payment method for this store"
"Display payment method logo","Display payment method logo"
"The payment method logo will be displayed on the checkout page","The payment method logo will be displayed on the checkout page"
"Products remain in the shopping cart after cancelled payment","Products remain in the shopping cart after cancelled payment"
"For additional configurations login to <a href='https://admin.novalnet.de/' target='_blank'> Novalnet Merchant Administration portal</a>. To login to the Portal you need to have an account at Novalnet. If you don't have one yet, please contact <a href='mailto:sales@novalnet.de'>sales@novalnet.de</a> / tel. +49 (089) 923068320</br>"
"To accept PayPal transactions, configure your PayPal API info in the <a href='https://admin.novalnet.de/' target='_blank'> Novalnet Admin Portal </a> > PROJECT > "Project" Information > Payment Methods > Paypal > Configure.","To accept PayPal transactions, configure your PayPal API info in the <a href='https://admin.novalnet.de/' target='_blank'> Novalnet Admin Portal </a> > PROJECT > "Project" Information > Payment Methods > Paypal > Configure."
"Order status management for on-hold transactions","Order status management for on-hold transactions"
"Order status for the pending payment","Order status for the pending payment"
"Onhold order status","Onhold order status"
"Cancellation order status","Cancellation order status"
"Notification / Webhook URL Setup","Notification / Webhook URL Setup"
"Allow manual testing of the Notification / Webhook URL","Allow manual testing of the Notification / Webhook URL"
"E-Mail address of the recipient","Notification / Webhook URL execution messages will be sent to this e-mail."
"Notification &amp; Webhook URL","Notification / Webhook URL"
"Notification / Webhook URL is required to keep the merchant’s database/system synchronized with the Novalnet account (e.g. delivery status). Refer the Installation Guide for more information","Notification / Webhook URL is required to keep the merchant’s database/system synchronized with the Novalnet account (e.g. delivery status). Refer the Installation Guide for more information"
"Payment Methods","Payment Methods"
"Credit/Debit Cards","Credit/Debit Cards"
"Direct Debit SEPA","Direct Debit SEPA"
"Invoice","Invoice"
"Prepayment","Prepayment"
"Invoice with payment guarantee","Invoice with payment guarantee"
"Direct Debit SEPA with payment guarantee","Direct Debit SEPA with payment guarantee"
"Instalment by Direct Debit SEPA","Instalment by Direct Debit SEPA"
"Instalment by Invoice","Instalment by Invoice"
"Sofort","Sofort"
"PayPal","PayPal"
"iDEAL","iDEAL"
"Eps","eps"
"Giropay","giropay"
"Przelewy24","Przelewy24"
"PostFinance Card","PostFinance Card"
"PostFinance E-Finance","PostFinance E-Finance"
"Multibanco","Multibanco"
"Bancontact","Bancontact"
"Display payment method","Display payment method"
"Novalnet Title","Title"
"Define a sorting order","Define a sorting order"
"This payment method will be sorted among others (in the ascending order) as per the given sort number","The payment methods will be listed in your checkout (in ascending order) based on your given sorting order."
"Payment logo","Payment logo"
"Payment Action","Payment Action"
"Authorize","Authorize"
"Capture","Capture"
"Choose whether or not the payment should be charged immediately. Capture completes the transaction by transferring the funds from buyer account to merchant account. Authorize verifies payment details and reserves funds to capture it later, giving time for the merchant to decide on the order.","Choose whether or not the payment should be charged immediately. Capture completes the transaction by transferring the funds from buyer account to merchant account. Authorize verifies payment details and reserves funds to capture it later, giving time for the merchant to decide on the order."
"Novalnet Capture","Novalnet Capture"
"Completed order status","Completed order status"
"Status to be used for successful orders","Status to be used for successful orders"
"Payment due date (in days)","Payment due date (in days)"
"Enter the number of days after which the payment should be processed (must be between 2 and 14 days)","Number of days after which the payment is debited (must be between 2 and 14 days)."
"Enter the number of days after which the payment should be processed (must be between 7 and 28 days)","Number of days given to the buyer to transfer the amount to Novalnet (must be between 7 and 28 days). If this field is left blank, 14 days will be set as due date by default."
"Minimum transaction amount for authorization","Minimum transaction amount for authorization (in minimum unit of currency. E.g. enter 100 which is equal to 1.00)"
"Form appearance","Form appearance"
"Custom CSS Settings","Custom CSS Settings"
"CSS settings for iframe form","CSS settings for iframe form"
"NN CC Label Style","Label"
"NN CC Input Style","Input"
"NN CC CSS text","CSS text"
"Notification for the buyer","Notification for the buyer"
"The entered text will be displayed on the checkout page","The entered text will be displayed at the checkout page"
"User Group Excluded","User Group Excluded"
"Payment from Applicable Countries","Payment From Applicable Countries"
"Payment from Specific Countries","Payment From Specific Countries"
"Minimum order amount (in minimum unit of currency. E.g. enter 100 which is equal to 1.00)","Minimum order amount (in minimum unit of currency. E.g. enter 100 which is equal to 1.00)"
"Minimum order amount: 19.98 EUR or more","Minimum order amount: 19.98 EUR or more"
"The minimum amount should be at least 9.99 EUR","The minimum amount should be at least 9.99 EUR"
"The minimum amount should be at least 19.98 EUR","The minimum amount should be at least 19.98 EUR"
"Minimum Order Total","Minimum Order Total (in EUR)"
"Maximum Order Total","Maximum Order Total (in EUR)"
"Minimum Orders Count","Minimum number of orders count"
"Default: '0' for disabled check | Minimum count of orders (in the past) needed for the customer to use this payment method","Enable this payment method for the particular customer only when they exceed this number of previous orders in your checkout."
"The amount will be debited from your credit/debit card","The amount will be debited from your credit/debit card"
"Once you've submitted the order, you will receive an e-mail with account details to make payment","Once you send the order, you will receive an e-mail with the account details to complete the payment."
"The payment will be processed in the test mode therefore amount for this transaction will not be charged","The payment will be processed in the test mode therefore amount for this transaction will not be charged"
"Your credit card details are invalid","Your credit card details are invalid"
"Card holder name","Card holder name"
"Name on card","Name on card"
"Card number","Card number"
"XXXX XXXX XXXX XXXX","XXXX XXXX XXXX XXXX"
"Expiry date","Expiry date"
"MM / YY","MM / YY"
"CVC/CVV/CID","CVC/CVV/CID"
"XXX","XXX"
"what is this?","what is this?"
"The amount will be debited from your account by Novalnet","The amount will be debited from your account by Novalnet"
"Account holder","Account holder"
"IBAN","IBAN"
"I hereby grant the mandate for the SEPA direct debit","I hereby grant the mandate for the SEPA direct debit"
"(electronic transmission)","(electronic transmission)"
"and confirm that the given bank details are correct!","and confirm that the given bank details are correct"
"I authorise (A) Novalnet AG to send instructions to my bank to debit my account and (B) my bank to debit my account in accordance with the instructions from Novalnet AG.","I authorise (A) Novalnet AG to send instructions to my bank to debit my account and (B) my bank to debit my account in accordance with the instructions from Novalnet AG."
"Creditor identifier: DE53ZZZ00000004253","Creditor identifier: DE53ZZZ00000004253"
"Note:","Note:"
"You are entitled to a refund from your bank under the terms and conditions of your agreement with bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited.","You are entitled to a refund from your bank under the terms and conditions of your agreement with bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited."
"After the successful verification, you will be redirected to Novalnet secure order page to proceed with the payment","You will be redirected to the Novalnet secure payment page to complete the payment."
"Are you sure you want to remove these account details?","Are you sure you want to remove these account details?"
"Are you sure you want to remove these Credit Card details?","Are you sure you want to remove these Credit Card details?"
"Add new card details","Add new card details"
"Add new account details","Add new account details"
"Save my card details for future purchases","I want to save my card details for later purchases"
"Save my account details for future purchases","I want to save my account details for later purchases"
"Save my PayPal details for future purchases","Save my PayPal account details for later purchases"
"Test order","Test order"
"Novalnet Transaction ID: ","Novalnet Transaction ID: "
"Payment Failed","Payment Failed"
"The transaction has been confirmed on %1","The transaction has been confirmed on %1"
"The transaction has been canceled on %1","The transaction has been canceled on %1"
"Refund has been initiated for the TID:%1 with the amount %2","Refund has been initiated for the TID:%1 with the amount %2"
"Refund has been initiated for the TID: %1 with the amount %2. New TID:%3","Refund has been initiated for the TID: %1 with the amount %2. New TID:%3"
"Customer was redirected to Novalnet","Customer was redirected to Novalnet"
"Customer successfully returned from Novalnet","Customer successfully returned from Novalnet"
"The transaction has been confirmed","The transaction has been confirmed"
"The transaction has been canceled","The transaction has been canceled"
"While redirecting some data has been changed. The hash check failed.","While redirecting some data has been changed. The hash check failed."
"The transaction has been confirmed on %1","The transaction has been confirmed on %1"
"The transaction has been canceled on %1","The transaction has been canceled on %1"
"Refund/Bookback executed successfully for the TID: %1 amount: %2 on %3. The subsequent TID: %4","Refund/Bookback executed successfully for the TID: %1 amount: %2 on %3. The subsequent TID: %4"
"The transaction status has been changed from pending to on hold for the TID: %1 on %2.","The transaction status has been changed from pending to on-hold for the TID: %1 on %2."
"Credit has been successfully received for the TID: %1 with amount %2 on %3. Please refer PAID order details in our Novalnet Admin Portal for the TID: %4","Credit has been successfully received for the TID: %1 with amount %2 on %3. Please refer PAID order details in our Novalnet Admin Portal for the TID: %4"
"NChargeback executed successfully for the TID: %1 amount: %2 on %3. The subsequent TID: %4","Chargeback executed successfully for the TID: %1 amount: %2 on %3. The subsequent TID: %4"
"Transaction updated successfully for the TID: %1 with the amount %2 on %3","Transaction updated successfully for the TID: %1 with the amount %2 on %3"
"The Transaction ID already existed","Novalnet Callback executed. The Transaction ID already existed"
"Enter the number of days to transfer the payment amount to Novalnet (must be greater than 7 days). In case if the field is empty, 14 days will be set as due date by default","Number of days given to the buyer to transfer the amount to Novalnet (must be greater than 7 days). If this field is left blank, 14 days will be set as due date by default."
"Slip expiry date (in days)","Slip expiry date (in days)"
"Enter the number of days to pay the amount at store near you. If the field is empty, 14 days will be set as default.","Number of days given to the buyer to pay at a store. If this field is left blank, 14 days will be set as slip expiry date by default."
"Recurring Period for the instalment cycles","Choose the recurring period for the instalment payment."
"On choosing an appropriate recurring period, each instalment cycle will be processed based on that","On choosing an appropriate recurring period, each instalment cycle will be processed based on that"
"Select the various instalment cycles that can be availed in the instalment plan","Select the available instalment cycles."
"Choose your instalment plan","Choose your instalment plan"
"<b>Basic requirements for payment guarantee</b><br>Allowed B2C countries: DE, AT, CH<br>Allowed B2B countries: European Union<br>Allowed currency: EUR<br>Minimum order amount: 9.99 EUR or more<br>Age limit: 18 years or more<br>The billing address must be the same as the shipping address<br><br>","<b>Basic requirements for payment guarantee</b><br>Allowed B2C countries: DE, AT, CH<br>Allowed B2B countries: European Union<br>Allowed currency: EUR<br>Minimum order amount: 9.99 EUR or more<br>Age limit: 18 years or more<br>The billing address must be the same as the shipping address<br><br>"
